host_is_superhost,latitude,longitude,accommodates,bedrooms,price,review_scores_value,instant_bookable,entire_apt,bathrooms,single_letting,over_ten_lettings
False,51.40066,-0.19158,7,2,138.0,4.0,False,True,1.0,True,False
False,51.54017,-0.05457,2,1,35.0,4.64,False,False,1.0,True,False
False,51.53263,-0.0118,3,1,80.0,4.56,False,True,1.0,True,False
False,51.50426,-0.33444,1,1,28.0,4.83,True,False,1.5,True,False
False,51.58409,-0.14625,4,2,99.0,4.67,False,True,1.0,True,False
False,51.4897,-0.13911,3,2,83.0,5.0,False,True,1.0,True,False
True,51.46788,-0.09993,2,1,36.0,4.65,False,False,1.0,False,False
True,51.51735,-0.21076,2,1,50.0,4.7,False,True,1.0,True,False
True,51.51755,-0.20159,2,1,130.0,4.77,False,True,1.0,True,False
False,51.49185,-0.08823,4,2,111.0,4.75,False,True,1.0,True,False
False,51.53593,-0.06396,2,1,120.0,,False,True,1.5,True,False
False,51.50612,-0.14029,6,3,1300.0,,False,True,2.5,False,False
True,51.49686,-0.02627,2,1,60.0,4.93,False,False,1.0,True,False
False,51.49577,-0.1954,2,1,85.0,4.83,False,False,1.0,True,False
False,51.51789,-0.158,2,1,203.0,4.75,False,True,1.0,True,False
False,51.52636,-0.18801,2,1,51.0,4.63,False,False,1.5,True,False
False,51.52948,-0.08591,6,2,159.0,4.22,False,True,1.0,False,False
False,51.53753,-0.24013,6,2,150.0,4.5,False,True,1.5,True,False
False,51.55191,-0.11497,2,1,45.0,5.0,False,True,1.0,True,False
False,51.47375,-0.18152,4,2,120.0,4.79,False,True,1.0,True,False
True,51.43855,-0.32191,2,1,55.0,4.81,True,False,1.0,True,False
True,51.49882,-0.10293,1,1,69.0,4.95,False,False,1.0,True,False
True,51.54209,-0.202,3,1,69.0,4.83,False,True,1.0,True,False
False,51.49094,-0.27008,2,1,85.0,3.6,False,False,1.0,True,False
False,51.53715,-0.06418,4,2,85.0,4.65,False,True,1.5,True,False
True,51.5343,0.08178,1,1,48.0,4.69,False,False,1.0,True,False
True,51.51462,-0.05969,2,1,35.0,4.67,False,False,1.0,True,False
True,51.3843,-0.12723,1,1,18.0,4.51,False,False,1.0,False,False
False,51.53561,-0.11338,2,1,100.0,4.34,False,True,1.0,False,False
False,51.53614,-0.14158,4,1,113.0,4.58,True,True,1.5,False,True
False,51.3676,-0.12209,2,1,37.0,4.65,True,False,1.5,False,False
False,51.55239,-0.0346,8,4,263.0,,False,False,1.5,True,False
False,51.51566,-0.17467,2,1,94.0,4.75,False,True,1.0,True,False
False,51.52945,-0.19746,1,1,67.0,4.53,False,True,1.0,True,False
False,51.51146,-0.2021,4,2,550.0,4.86,False,True,1.5,True,False
True,51.47928,-0.22061,6,3,61.0,4.8,False,False,1.0,False,False
False,51.52853,-0.07728,2,1,95.0,4.35,False,True,1.5,False,False
False,51.48829,-0.18905,3,2,95.0,4.83,False,True,1.0,True,False
False,51.51862,-0.13957,4,1,180.0,4.38,False,True,1.0,True,False
False,51.48793,-0.04204,7,1,30.0,4.21,False,False,1.5,False,False
False,51.4898,-0.19574,1,1,75.0,4.77,False,False,1.0,True,False
False,51.5368,-0.07753,2,1,90.0,5.0,False,True,1.0,True,False
False,51.47118,-0.1844,2,2,75.0,5.0,False,False,2.0,True,False
True,51.54818,-0.08428,1,1,42.0,4.75,False,False,1.0,True,False
True,51.52153,-0.1004,2,1,60.0,4.6,True,True,1.0,False,False
False,51.48668,-0.10513,2,1,107.0,4.81,False,False,1.0,True,False
False,51.49046,-0.19767,2,1,100.0,4.66,False,False,1.0,True,False
False,51.60484,-0.12463,4,3,170.0,4.55,True,True,1.5,False,False
False,51.50363,-0.10926,3,1,39.0,4.54,False,False,1.5,False,False
False,51.52022,-0.10577,4,2,231.0,4.54,True,True,2.0,False,True
False,51.49609,-0.22782,3,1,120.0,4.67,False,True,1.0,True,False
False,51.5191,-0.2053,4,2,150.0,4.44,False,True,2.0,True,False
True,51.51156,-0.19579,2,1,170.0,4.76,True,True,1.0,True,False
False,51.54491,-0.20988,1,1,55.0,4.64,False,False,1.0,True,False
False,51.57542,-0.06921,2,2,75.0,5.0,False,True,1.0,True,False
False,51.60531,-0.14814,1,1,33.0,5.0,False,False,1.0,True,False
False,51.42865,-0.15725,1,1,29.0,4.74,False,False,1.5,True,False
False,51.56094,-0.10893,3,1,29.0,4.8,False,False,1.0,True,False
False,51.53483,-0.23749,2,1,46.0,4.83,False,False,1.0,True,False
False,51.55314,-0.04586,6,3,123.0,4.86,False,True,2.5,False,False
False,51.54233,-0.09941,1,1,50.0,4.77,False,False,2.0,True,False
True,51.52932,-0.08094,12,4,579.0,4.37,False,True,2.0,False,False
True,51.53261,-0.08277,6,2,159.0,4.48,False,True,1.0,False,False
False,51.55012,-0.11695,2,1,80.0,3.86,False,False,1.0,True,False
False,51.53152,-0.09268,1,1,40.0,4.0,False,False,1.0,True,False
False,51.55468,-0.13524,7,5,300.0,5.0,False,True,2.5,True,False
False,51.47615,-0.06092,1,3,60.0,,False,False,2.0,True,False
False,51.52099,-0.11046,1,1,250.0,4.74,False,False,1.0,True,False
True,51.52339,-0.31421,1,1,29.0,4.86,True,False,1.0,True,False
False,51.52999,-0.08276,4,1,40.0,,False,True,1.0,False,False
False,51.5333,0.04779,1,1,51.0,,False,False,1.0,True,False
False,51.47022,-0.17008,1,2,35.0,4.55,True,False,3.0,True,False
False,51.51854,0.02291,5,2,80.0,4.52,True,True,1.0,True,False
False,51.44306,-0.01948,10,4,243.0,4.84,False,True,2.0,False,False
False,51.44284,-0.01997,2,1,87.0,4.75,False,True,1.0,False,False
False,51.44355,-0.02309,5,2,128.0,4.56,False,True,1.0,False,False
False,51.44333,-0.02307,4,2,146.0,4.56,False,True,2.0,False,False
False,51.44353,-0.02328,4,1,110.0,4.0,True,True,1.0,False,False
False,51.44151,-0.02195,8,4,209.0,4.73,False,True,2.0,False,False
False,51.44346,-0.02122,6,3,157.0,4.59,False,True,2.0,False,False
False,51.50287,-0.10937,2,1,37.0,4.58,False,False,1.5,False,False
False,51.50669,-0.33013,1,1,29.0,4.93,False,False,2.0,True,False
False,51.47174,0.05861,1,1,46.0,,False,False,1.0,True,False
True,51.44311,-0.33245,3,1,71.0,4.57,True,True,1.0,True,False
False,51.53097,-0.39891,2,1,30.0,4.0,True,False,1.0,False,False
False,51.54248,-0.09712,3,2,80.0,4.71,False,False,1.0,True,False
True,51.53856,-0.18757,4,1,108.0,4.64,True,True,1.0,True,False
True,51.47223,-0.18466,5,2,140.0,4.49,True,True,2.0,True,False
False,51.42229,-0.178,4,1,95.0,4.28,False,True,1.0,False,True
False,51.43951,-0.05175,5,2,108.0,4.29,False,True,1.0,False,False
False,51.61782,-0.02283,3,1,50.0,5.0,False,False,1.0,True,False
False,51.42328,-0.17789,6,2,130.0,4.0,False,True,2.0,False,True
False,51.49254,-0.30935,6,2,124.0,4.8,False,True,1.0,False,True
False,51.51488,-0.19016,2,1,89.0,5.0,False,True,1.0,True,False
False,51.49777,-0.09097,2,1,149.0,4.65,False,True,1.0,True,False
False,51.51449,-0.26465,2,1,50.0,4.81,False,False,1.0,True,False
False,51.52361,-0.11591,2,1,110.0,4.85,False,True,1.0,True,False
False,51.55918,-0.07416,1,1,45.0,,False,False,1.0,True,False
False,51.58619,-0.25304,2,1,50.0,,True,False,1.0,True,False
False,51.5067,-0.24775,2,1,86.0,4.75,False,True,1.5,False,False
False,51.51464,-0.20004,3,1,250.0,4.75,False,True,1.5,True,False
True,51.57982,-0.37539,2,1,70.0,4.88,False,True,1.0,True,False
False,51.51209,-0.18921,4,2,250.0,4.55,False,True,2.0,False,False
False,51.53741,-0.23727,6,3,102.0,,False,True,1.0,True,False
False,51.54039,-0.14282,6,3,275.0,4.41,True,True,2.0,True,False
False,51.429,-0.12764,2,1,29.0,5.0,False,False,1.0,True,False
False,51.59375,-0.25767,2,1,50.0,4.34,True,True,1.0,True,False
False,51.48641,-0.21277,3,1,68.0,4.34,False,False,1.0,True,False
False,51.57537,0.00536,1,1,34.0,4.91,False,False,1.0,True,False
False,51.52214,-0.34366,2,1,86.0,,False,False,1.0,True,False
False,51.41877,-0.16772,2,1,45.0,,False,False,1.0,True,False
False,51.42892,-0.12915,4,2,135.0,,False,True,1.0,True,False
True,51.55764,-0.30173,5,2,59.0,4.71,False,True,1.0,True,False
False,51.58358,-0.1177,6,3,200.0,4.42,False,True,2.0,True,False
False,51.51806,-0.01719,2,1,55.0,,False,False,1.0,True,False
False,51.45398,-0.02118,5,3,100.0,,False,True,1.0,True,False
True,51.52264,-0.10323,2,1,130.0,4.69,True,True,1.0,False,False
False,51.54072,0.15246,1,1,41.0,3.67,False,False,0.0,True,False
False,51.49739,-0.10146,5,2,132.0,4.55,True,True,1.0,False,False
False,51.51592,-0.16413,2,1,100.0,4.76,True,True,1.0,True,False
False,51.52344,-0.46178,2,1,33.0,4.8,False,False,1.0,True,False
False,51.55216,-0.03871,6,2,162.0,4.68,False,True,1.0,True,False
False,51.5873,-0.09953,1,1,50.0,,False,False,1.0,True,False
False,51.56099,-0.0774,8,5,190.0,5.0,False,True,2.5,True,False
True,51.49324,-0.11058,6,3,260.0,4.81,False,True,2.5,True,False
True,51.49928,0.10729,2,1,34.0,4.94,False,False,1.0,True,False
True,51.46934,-0.10136,2,1,40.0,4.74,False,False,1.0,False,False
False,51.41779,-0.15163,13,4,500.0,4.76,False,True,2.0,False,False
False,51.54174,0.006,2,1,100.0,,False,False,2.0,True,False
True,51.52704,-0.08129,2,1,144.0,4.94,False,True,1.0,True,False
False,51.53347,-0.23292,3,1,89.0,4.67,False,True,1.0,True,False
True,51.60134,-0.08688,2,1,26.0,4.74,True,False,1.0,False,False
False,51.55896,-0.08297,6,3,97.0,4.5,False,True,1.5,True,False
False,51.52626,0.02904,2,1,32.0,4.33,False,False,0.0,True,False
False,51.47565,-0.15073,4,2,170.0,4.63,False,True,1.0,True,False
True,51.44052,-0.13284,1,1,31.0,4.47,False,False,1.5,False,False
True,51.48383,-0.11655,2,1,50.0,4.74,True,False,1.5,True,False
True,51.54289,-0.14541,4,1,51.0,4.62,False,False,1.0,False,False
False,51.61607,-0.02982,1,1,29.0,4.84,False,False,1.0,True,False
False,51.51106,-0.16939,2,1,140.0,4.63,False,True,1.0,True,False
False,51.49113,-0.19482,2,1,200.0,,False,True,1.0,True,False
False,51.5385,-0.14719,2,1,75.0,4.63,True,False,1.0,True,False
False,51.49897,-0.20395,1,1,69.0,4.7,False,False,1.5,False,False
False,51.47043,-0.17155,2,1,40.0,4.42,True,False,1.0,True,False
False,51.53861,-0.09678,2,1,99.0,4.8,False,True,1.0,True,False
False,51.55032,-0.07684,2,1,75.0,5.0,False,True,1.0,True,False
False,51.58095,-0.22395,2,1,65.0,,False,False,0.0,True,False
True,51.53304,0.01405,2,1,35.0,4.89,False,False,1.0,True,False
True,51.54387,-0.17308,3,1,40.0,4.61,False,False,1.0,False,False
False,51.54897,-0.18309,8,3,734.0,,False,True,2.5,True,False
False,51.48751,-0.11679,6,3,140.0,4.67,False,True,2.5,True,False
False,51.47565,-0.15159,2,1,90.0,4.77,True,False,1.0,True,False
False,51.4619,-0.1169,4,1,125.0,4.68,True,True,1.0,True,False
True,51.46945,-0.13013,2,1,138.0,4.85,False,True,1.0,True,False
False,51.48423,-0.2629,2,1,40.0,4.8,True,False,1.0,True,False
False,51.45768,-0.0526,1,1,45.0,,False,False,2.0,True,False
False,51.50095,-0.25827,4,1,60.0,4.59,False,False,2.0,False,False
True,51.45625,-0.01633,2,1,36.0,4.85,False,False,2.0,False,False
False,51.52382,-0.10533,2,1,71.0,4.49,False,False,1.0,False,False
False,51.54363,-0.25556,4,2,303.0,4.33,True,True,2.0,True,False
False,51.53098,-0.01191,2,2,200.0,,False,True,1.5,True,False
True,51.53185,-0.08152,6,2,194.0,4.4,False,True,1.0,False,False
False,51.55112,-0.07469,2,1,75.0,4.5,False,True,1.0,True,False
False,51.56329,-0.19534,3,2,85.0,4.74,True,True,1.0,True,False
True,51.50743,-0.22568,2,1,59.0,4.86,False,False,1.0,True,False
False,51.49208,-0.06124,1,1,45.0,,False,False,1.0,True,False
False,51.57036,-0.11044,2,1,70.0,4.33,False,False,2.0,True,False
False,51.40392,-0.09948,2,1,21.0,4.5,False,False,1.5,False,False
False,51.53193,-0.37645,2,1,50.0,5.0,False,False,2.0,True,False
False,51.45837,-0.03635,2,1,60.0,,False,False,1.0,True,False
True,51.51575,-0.18078,7,2,165.0,4.37,False,True,2.5,False,False
